fecha,model,value
2019-01-01,ipc,4.1
2019-02-01,ipc,4.46
2019-03-01,ipc,4.17
2019-04-01,ipc,4.75
2019-05-01,ipc,4.54
2019-06-01,ipc,4.8
2019-07-01,ipc,4.37
2019-08-01,ipc,3.01
2019-09-01,ipc,1.8
2019-10-01,ipc,2.17
2019-11-01,ipc,2.92
2019-12-01,ipc,3.41
2020-01-01,ipc,1.78
2020-02-01,ipc,1.24
2020-03-01,ipc,1.77
2020-04-01,ipc,1.88
2020-05-01,ipc,1.8
2020-06-01,ipc,2.39
2020-07-01,ipc,2.88
2020-08-01,ipc,4.19
2020-09-01,ipc,4.97
2020-10-01,ipc,5.34
2020-11-01,ipc,5.46
2020-12-01,ipc,4.82
2021-01-01,ipc,5.24
2021-02-01,ipc,6
2021-03-01,ipc,5.84
2021-04-01,ipc,5.2
2021-05-01,ipc,5.17
2021-06-01,ipc,3.91
2021-07-01,ipc,3.82
2021-08-01,ipc,3.62
2021-09-01,ipc,3.67
2021-10-01,ipc,2.96
2021-11-01,ipc,2.89
2021-12-01,ipc,3.07
2019-01-01,lstm,NA
2019-02-01,lstm,NA
2019-03-01,lstm,NA
2019-04-01,lstm,NA
2019-05-01,lstm,NA
2019-06-01,lstm,NA
2019-07-01,lstm,NA
2019-08-01,lstm,NA
2019-09-01,lstm,NA
2019-10-01,lstm,NA
2019-11-01,lstm,NA
2019-12-01,lstm,NA
2020-01-01,lstm,1.9025220332075556
2020-02-01,lstm,2.040032580057572
2020-03-01,lstm,2.83353861993292
2020-04-01,lstm,3.6786380623330057
2020-05-01,lstm,3.9155236670794498
2020-06-01,lstm,3.961621991587734
2020-07-01,lstm,3.940397073755136
2020-08-01,lstm,3.7839685473406175
2020-09-01,lstm,3.933613081216397
2020-10-01,lstm,3.859444634305378
2020-11-01,lstm,3.8412273672750894
2020-12-01,lstm,3.7388677901152088
2021-01-01,lstm,3.2167410427866105
2021-02-01,lstm,2.978065418854686
2021-03-01,lstm,3.0589682120424753
2021-04-01,lstm,3.782676406991483
2021-05-01,lstm,4.146845113907685
2021-06-01,lstm,4.701624900105346
2021-07-01,lstm,4.655348407672771
2021-08-01,lstm,4.17922942566462
2021-09-01,lstm,4.333812582425679
2021-10-01,lstm,4.179184185410054
2021-11-01,lstm,3.623750775882281
2021-12-01,lstm,2.6843334279380127
2019-01-01,mlp,NA
2019-02-01,mlp,NA
2019-03-01,mlp,NA
2019-04-01,mlp,NA
2019-05-01,mlp,NA
2019-06-01,mlp,NA
2019-07-01,mlp,NA
2019-08-01,mlp,NA
2019-09-01,mlp,NA
2019-10-01,mlp,NA
2019-11-01,mlp,NA
2019-12-01,mlp,NA
2020-01-01,mlp,1.7439233102528608
2020-02-01,mlp,2.1933081201937337
2020-03-01,mlp,3.661731009536999
2020-04-01,mlp,3.885680832253584
2020-05-01,mlp,4.185568495909991
2020-06-01,mlp,3.3715358703152836
2020-07-01,mlp,3.756042039724234
2020-08-01,mlp,3.856079961641005
2020-09-01,mlp,4.661570578355307
2020-10-01,mlp,5.089057652086745
2020-11-01,mlp,4.68233991416501
2020-12-01,mlp,4.263319049114513
2021-01-01,mlp,5.820046086885338
2021-02-01,mlp,5.575266020382927
2021-03-01,mlp,5.8417324103328845
2021-04-01,mlp,5.588634773335099
2021-05-01,mlp,4.978544735046703
2021-06-01,mlp,4.598565436329412
2021-07-01,mlp,4.416001467485348
2021-08-01,mlp,4.952608325254684
2021-09-01,mlp,5.789520356451459
2021-10-01,mlp,5.875598381248075
2021-11-01,mlp,5.430718570313898
2021-12-01,mlp,5.643341254337219
2019-01-01,rf,NA
2019-02-01,rf,NA
2019-03-01,rf,NA
2019-04-01,rf,NA
2019-05-01,rf,NA
2019-06-01,rf,NA
2019-07-01,rf,NA
2019-08-01,rf,NA
2019-09-01,rf,NA
2019-10-01,rf,NA
2019-11-01,rf,NA
2019-12-01,rf,NA
2020-01-01,rf,2.156649166666667
2020-02-01,rf,1.9587949999999985
2020-03-01,rf,2.1882196666666665
2020-04-01,rf,2.2157515000000005
2020-05-01,rf,2.2200828333333327
2020-06-01,rf,2.8638325000000058
2020-07-01,rf,3.5758498333333373
2020-08-01,rf,4.61660650000001
2020-09-01,rf,5.393521333333342
2020-10-01,rf,5.815333333333329
2020-11-01,rf,6.201002666666667
2020-12-01,rf,5.3602833333333395
2021-01-01,rf,5.719634166666659
2021-02-01,rf,6.621649000000007
2021-03-01,rf,6.308323500000001
2021-04-01,rf,5.740034500000001
2021-05-01,rf,5.746382833333337
2021-06-01,rf,4.6074131666666736
2021-07-01,rf,4.607789500000007
2021-08-01,rf,4.333914000000003
2021-09-01,rf,4.34912916666667
2021-10-01,rf,3.695740999999993
2021-11-01,rf,3.690959833333325
2021-12-01,rf,3.8838343333333274
2019-01-01,svm,NA
2019-02-01,svm,NA
2019-03-01,svm,NA
2019-04-01,svm,NA
2019-05-01,svm,NA
2019-06-01,svm,NA
2019-07-01,svm,NA
2019-08-01,svm,NA
2019-09-01,svm,NA
2019-10-01,svm,NA
2019-11-01,svm,NA
2019-12-01,svm,NA
2020-01-01,svm,1.747667572491488
2020-02-01,svm,1.3235448255034417
2020-03-01,svm,2.537286771767223
2020-04-01,svm,3.1553219122063325
2020-05-01,svm,3.127048746349992
2020-06-01,svm,3.565252665596627
2020-07-01,svm,3.832606866434779
2020-08-01,svm,4.9152473633049
2020-09-01,svm,5.595619946867828
2020-10-01,svm,6.095945762427587
2020-11-01,svm,6.335105530213857
2020-12-01,svm,5.482115258521443
2021-01-01,svm,6.092223839129905
2021-02-01,svm,6.987777013754475
2021-03-01,svm,7.369311441589234
2021-04-01,svm,6.250639265750336
2021-05-01,svm,6.835769042680026
2021-06-01,svm,5.8682507033596325
2021-07-01,svm,5.568629985263974
2021-08-01,svm,5.207805434931917
2021-09-01,svm,5.376175421138718
2021-10-01,svm,4.691911592963879
2021-11-01,svm,4.966534167986511
2021-12-01,svm,5.588019318799645
2019-01-01,xgb,NA
2019-02-01,xgb,NA
2019-03-01,xgb,NA
2019-04-01,xgb,NA
2019-05-01,xgb,NA
2019-06-01,xgb,NA
2019-07-01,xgb,NA
2019-08-01,xgb,NA
2019-09-01,xgb,NA
2019-10-01,xgb,NA
2019-11-01,xgb,NA
2019-12-01,xgb,NA
2020-01-01,xgb,1.9121519327163696
2020-02-01,xgb,1.5963444709777832
2020-03-01,xgb,1.851217269897461
2020-04-01,xgb,2.1064114570617676
2020-05-01,xgb,1.8450781106948853
2020-06-01,xgb,3.2214548587799072
2020-07-01,xgb,3.710909366607666
2020-08-01,xgb,4.49871301651001
2020-09-01,xgb,5.131192684173584
2020-10-01,xgb,5.581765651702881
2020-11-01,xgb,5.774094104766846
2020-12-01,xgb,5.144360065460205
2021-01-01,xgb,5.557068347930908
2021-02-01,xgb,6.153697490692139
2021-03-01,xgb,6.132674694061279
2021-04-01,xgb,5.9694437980651855
2021-05-01,xgb,5.7694478034973145
2021-06-01,xgb,4.762646198272705
2021-07-01,xgb,4.764037132263184
2021-08-01,xgb,4.808674335479736
2021-09-01,xgb,5.222494602203369
2021-10-01,xgb,4.746516704559326
2021-11-01,xgb,4.773828983306885
2021-12-01,xgb,4.986337184906006
