.pred,.row,key
3.003099965966019,1,HW
2.41880207804218,2,HW
2.1256516613688126,3,HW
2.287337208975379,4,HW
2.6454378537598675,5,HW
3.1047324405103414,6,HW
3.1273536409067404,7,HW
3.059449257395891,8,HW
3.113617748206824,9,HW
3.522042856507739,10,HW
3.6212387045347407,11,HW
3.41,12,HW
3.003099965966019,13,HW
2.41880207804218,14,HW
2.1256516613688126,15,HW
2.287337208975379,16,HW
2.6454378537598675,17,HW
3.1047324405103414,18,HW
3.1273536409067404,19,HW
3.059449257395891,20,HW
3.113617748206824,21,HW
3.522042856507739,22,HW
3.6212387045347407,23,HW
3.41,24,HW
